,cluster
0,2
1,3
2,0
3,0
4,3
5,3
6,1
7,1
8,2
9,4
10,4
11,1
12,2
13,4
14,2
15,4
16,4
17,0
18,4
19,4
20,0
21,1
22,4
23,1
24,1
25,2
26,1
27,3
28,0
29,1
30,0
31,0
32,1
33,0
34,3
35,4
36,4
37,2
38,4
39,2
40,1
41,3
42,4
43,2
44,0
45,2
46,4
47,2
48,4
49,0
50,4
51,0
52,0
53,2
54,1
55,4
56,0
57,0
58,4
59,2
60,2
61,0
62,4
63,1
64,2
65,1
66,3
67,2
68,3
69,1
70,1
71,0
72,0
73,3
74,1
75,4
76,3
77,4
78,2
79,0
80,0
81,4
82,3
83,1
84,2
85,1
86,4
87,0
88,1
89,4
90,3
91,0
92,2
93,1
94,1
95,3
96,4
97,0
98,2
99,2
100,3
101,2
102,0
103,4
104,2
105,4
106,1
107,3
108,3
109,2
110,4
111,3
112,1
113,0
114,3
115,4
116,1
117,4
118,3
119,1
120,1
121,1
122,0
123,3
124,1
125,0
126,2
127,0
128,1
129,2
130,4
131,0
132,4
133,2
134,1
135,4
136,2
137,0
138,0
139,4
140,2
141,2
142,1
143,4
144,2
145,1
146,2
147,1
148,2
149,1
150,3
151,2
152,1
153,4
154,1
155,4
156,1
157,2
158,3
159,2
160,2
161,4
162,0
163,1
164,2
165,0
166,4
167,0
168,1
169,2
170,4
171,0
172,4
173,2
174,1
175,4
176,0
177,1
178,1
179,3
180,1
181,1
182,4
183,1
184,4
185,0
186,1
187,3
188,4
189,3
190,3
191,0
192,1
193,4
194,4
195,1
196,4
197,2
198,2
199,4
200,3
201,4
202,3
203,0
204,4
205,1
206,4
207,3
208,2
209,4
210,4
211,1
212,4
213,3
214,2
215,3
216,2
217,2
218,2
219,3
220,0
221,0
222,1
223,1
224,0
225,3
226,0
227,1
228,4
229,4
230,3
231,4
232,4
233,3
234,0
235,4
236,0
237,4
238,4
239,4
240,4
241,1
242,0
243,3
244,0
245,0
246,2
247,4
248,4
249,3
250,1
251,4
252,3
253,1
254,2
255,0
256,3
257,4
258,4
259,4
260,2
261,2
262,2
263,2
264,2
265,4
266,3
267,1
268,4
269,3
270,4
271,0
272,2
273,4
274,0
275,1
276,2
277,2
278,1
279,3
280,4
281,4
282,3
283,2
284,1
285,1
286,1
287,0
288,3
289,1
290,3
291,3
292,3
293,1
294,2
295,1
296,2
297,3
298,2
299,3
300,1
301,0
302,4
303,1
304,2
305,0
306,1
307,2
308,2
309,2
310,1
311,3
312,1
313,1
314,2
315,4
316,3
317,0
318,4
319,0
320,2
321,2
322,3
323,3
324,2
325,1
326,2
327,1
328,3
329,2
330,1
331,3
332,3
333,4
334,3
335,2
336,4
337,1
338,4
339,4
340,4
341,3
342,1
343,4
344,4
345,4
346,0
347,4
348,4
349,0
350,4
351,0
352,0
353,3
354,2
355,1
356,1
357,3
358,4
359,1
360,2
361,4
362,2
363,0
364,2
365,4
366,1
367,4
368,1
369,4
370,2
371,2
372,1
373,0
374,2
375,0
376,1
377,0
378,3
379,4
380,3
381,4
382,3
383,2
384,4
385,0
386,4
387,1
388,2
389,3
390,1
391,4
392,0
393,0
394,1
395,0
396,2
397,2
398,3
399,2
400,2
401,1
402,0
403,3
404,1
405,1
406,1
407,4
408,0
409,4
410,1
411,4
412,4
413,3
414,3
415,1
416,3
417,1
418,0
419,4
420,0
421,4
422,2
423,0
424,3
425,3
426,3
427,4
428,3
429,0
430,0
431,1
432,1
433,4
434,3
435,0
436,0
437,4
438,0
439,0
440,2
441,4
442,4
443,2
444,4
445,0
446,1
447,4
448,3
449,1
450,4
451,4
452,0
453,3
454,3
455,2
456,2
457,4
458,0
459,4
460,2
461,4
462,4
463,1
464,2
465,0
466,1
467,2
468,2
469,3
470,0
471,3
472,1
473,4
474,0
475,3
476,2
477,2
478,2
479,4
480,3
481,1
482,2
483,3
484,3
485,3
486,3
487,4
488,4
489,0
490,2
491,2
492,2
493,4
494,4
495,3
496,0
497,3
498,4
499,3
500,4
501,2
502,2
503,4
504,1
505,0
506,2
507,0
508,1
509,4
510,2
511,2
512,1
513,4
514,0
515,0
516,4
517,4
518,0
519,2
520,1
521,2
522,0
523,2
524,2
525,4
526,3
527,3
528,0
529,3
530,1
531,0
532,4
533,1
534,0
535,3
536,4
537,4
538,0
539,2
540,4
541,0
542,1
543,4
544,4
545,4
546,0
547,0
548,3
549,3
550,3
551,4
552,4
553,2
554,4
555,0
556,4
557,1
558,1
559,2
560,3
561,1
562,1
563,2
564,2
565,1
566,4
567,0
568,3
569,1
570,1
571,4
572,4
573,1
574,4
575,4
576,3
577,2
578,3
579,1
580,0
581,4
582,0
583,1
